zone_1,zone_2,zone_3,mod_type,top_off,,,
FP OVRHANG,,,W73,Y,,,
FP  SOFA,,,W82,Y,,,
FP NCONVEY,,,W92,Y,,,
FP NCONVEY,,,W93,Y,,,
FP OVRHANG,,,W75,Y,,,
A-TARAH,,,A01,Y,,,
RUGS-HG,,,W61,N,,,
RUGS-LG,,,W61,Y,,,
A-SEASONAL,,,A37,Y,,,
A-MLVTEST,,,A24,Y,,,
A-MLVTEST,,,A15,Y,,,
A-MLVTEST,,,A26,Y,,,
A-SMALL,,,A15,Y,,,
H-COFFEE,,,X51,N,,,
A-TOY,,,A01,Y,,,
RUGS-MED,,,W60,Y,,,
H-COFFEE,,,X24,N,,,
A-STFR,,,A62,Y,,,
A-STFR,,,A63,Y,,,
A-STFR,,,A64,Y,,,
A-98RET,,,A26,Y,,,
A-98RET,,,A13,Y,,,
PILLOW,,,W94,Y,,,
RUGS-LG,,,W65,Y,,,
RUGS-MED,,,W65,Y,,,
VAULT,,,A06,Y,,,
H-COFFEE,,,A50,Y,,,
H-COFFEE,,,A32,Y,,,
VAULT,,,A13,Y,,,
RUGS-HG,,,W70,N,,,
RAILS-TR,,,W00,Y,,,
A-98RET,,,A06,Y,,,
SHOES,,,W14,Y,,,
SHOES,,,W17,Y,,,
SHOES,,,W26,Y,,,
SHOES,,,W28,Y,,,
